Origin	Reference	input	filtered	denoisedF	denoisedR	merged	nonchim	proportion retained	asvs
Baltic	LMO01	323012	291208	281318	287437	258671	182612	0.57	566
Baltic	LMO02	266373	183246	178829	181250	169072	153210	0.58	549
Baltic	LMO03	84321	64068	58540	61797	49116	29222	0.35	197
Baltic	LMO04	408321	92527	87297	90580	76051	58884	0.14	377
Baltic	LMO05	169810	138311	128865	134245	109810	56084	0.33	311
Baltic	LMO06	262010	200405	191795	197242	173878	136949	0.52	581
Baltic	LMO07	159398	123336	117879	121406	107967	87318	0.55	399
Baltic	LMO08	26249	16443	12795	15073	10218	4290	0.16	78
Baltic	LMO09	238165	202697	191563	198274	169332	125366	0.53	547
Baltic	LMO10	213991	178405	168676	174282	146184	92003	0.43	380
Baltic	LMO11	308847	226674	223592	224306	215037	205232	0.66	703
Baltic	LMO12	239047	197728	193590	195711	182884	108113	0.45	366
Baltic	LMO13	324316	267366	266579	266921	264287	258717	0.80	716
Baltic	LMO14	243792	206103	195340	201245	174169	125225	0.51	586
Baltic	LMO15	188357	153331	148406	150244	135858	102500	0.54	526
Baltic	LMO16	137315	117056	111636	114056	99731	67380	0.49	413
Baltic	LMO17	204426	171308	166001	169273	152912	118982	0.58	377
Baltic	LMO18	579561	500084	487805	494894	442752	274775	0.47	455
Baltic	LMO19	274977	229705	224726	227074	206242	145875	0.53	408
Baltic	LMO20	52142	41936	39653	41112	35219	27778	0.53	249
Baltic	LMO21	117212	33403	31111	32670	27570	20318	0.17	224
Baltic	LMO22	200215	151132	141810	147344	118307	57022	0.28	319
Baltic	LMO23	109070	75907	70569	74097	60047	38054	0.35	312
Baltic	LMO24	308398	197545	195134	195884	187587	164439	0.53	412
Baltic	LMO25	161506	128120	120831	125147	105044	77458	0.48	439
Baltic	LMO26	49190	22129	19614	21210	16456	10972	0.22	215
Baltic	LMO27	200507	119043	108321	114952	88025	50521	0.25	455
Baltic	LMO28	47284	27235	24847	26136	21170	15217	0.32	234
Baltic	LMO29	189208	148529	146439	146774	142030	139196	0.74	579
Baltic	LMO30	172930	118206	110773	115672	93822	57442	0.33	393
Baltic	LMO31	111507	57810	54372	56117	48607	39180	0.35	374
Baltic	LMO32	81640	54141	53029	53303	50734	49742	0.61	395
Baltic	LMO33	238606	203956	200996	202492	195690	191530	0.80	815
Baltic	LMO34	185711	130982	128956	129557	124429	121851	0.66	763
Baltic	LMO35	154081	125724	123192	124586	118989	117519	0.76	851
Baltic	LMO36	307928	5377	5184	5224	4977	4970	0.02	68
Baltic	LMO37	590618	190226	188961	189440	184816	182051	0.31	579
Baltic	LMO38	401344	25012	24781	24881	24662	24662	0.06	83
Baltic	LMO39	181521	149952	143394	147209	124206	68153	0.38	309
Baltic	LMO40	238263	172190	169137	170841	161713	151569	0.64	468
Baltic	LMO41	2830	2086	1878	1905	1685	1685	0.60	98
Baltic	LMO42	285829	8395	8154	8188	7978	7969	0.03	71
Baltic	LMO43	141875	115803	110375	113597	94785	52780	0.37	301
Baltic	LMO44	161815	131765	129550	131037	126805	123910	0.77	360
Baltic	LMO45	108695	93320	91439	92536	88790	87038	0.80	464
Baltic	LMO46	24687	12349	12018	11996	11378	11315	0.46	270
Baltic	LMO47	398471	201898	201154	201342	198414	197457	0.50	545
Baltic	LMO48	328623	250254	243612	247581	228176	203273	0.62	721
Baltic	LMO49	172445	150873	140010	144971	121968	87684	0.51	584
Baltic	LMO50	22260	11847	11146	11558	10436	9890	0.44	193
Baltic	LMO51	283860	111114	110645	110679	108616	106944	0.38	396
Baltic	LMO52	275509	122332	121906	121904	118955	116881	0.42	415
Baltic	LMO53	334917	77430	76876	76908	74293	72642	0.22	454
Baltic	LMO55	143762	95856	95543	95637	93735	91949	0.64	450
Baltic	LMO56	366549	146078	145777	145680	142723	139751	0.38	435
Baltic	LMO57	50586	25818	25637	25649	25042	24923	0.49	343
Baltic	LMO58	85278	10145	10008	10012	9659	9542	0.11	223
Baltic	LMO59	122778	35974	34592	35277	32881	31676	0.26	335
Baltic	LMO60	266489	98990	97625	98224	94170	90400	0.34	464
Baltic	LMO61	231593	37220	35045	36183	31500	22141	0.10	233
Baltic	LMO62	268608	123465	122191	122483	118534	115231	0.43	677
Baltic	LMO63	230099	30342	28071	29178	25194	21608	0.09	311
Baltic	LMO64	290737	143619	141343	142585	136079	130138	0.45	618
Baltic	LMO65	371749	81218	80788	80941	80336	79966	0.22	204
Baltic	LMO66	330932	105820	103801	104904	99947	89772	0.27	367
Baltic	LMO67	448103	363791	359715	361875	347402	261952	0.58	306
Baltic	LMO68	245546	209434	204679	207566	180695	129476	0.53	445
