asv	origin	relative_abundance
ASV 1 Chloroplast	Modern marine	3.755509332190323e-6
ASV 2 Flavobacteriaceae	Modern marine	7.511018664380647e-7
ASV 3 Chloroplast	Meteoric	3.2046743529166264e-4
ASV 4 Mycobacterium	Modern marine	4.2562439098156994e-6
ASV 5 Pirellulaceae	Modern marine	2.0029383105015055e-6
ASV 6 Ilumatobacter	Old saline	5.022374679195818e-6
ASV 7 NS9 marine_group	Modern marine	7.511018664380647e-7
ASV 8 Cyanobium PCC-6307	Old saline	1.0044749358391635e-5
ASV 9 Cyanobium PCC-6307	Modern marine	4.506611198628388e-6
ASV 10 Chloroplast	Modern marine	1.2518364440634412e-6
ASV 11 Hyphomonas	Modern marine	5.758447642691829e-5
ASV 12 Candidatus Falkowbacteria	Modern marine	0.001021498538355768
ASV 13 Candidatus Falkowbacteria	Modern marine	0.001076078607316934
ASV 14 KF-JG30-C25	Old saline	9.32726726136366e-6
ASV 15 Thiobacillus	Modern marine	9.581556142861578e-4
ASV 16 Pseudomonas	Old saline	1.865453452272732e-5
ASV 17 JG30a-KF-32	Old saline	2.1524462910839217e-5
ASV 18 Alcanivorax	Modern marine	1.0765793418945595e-5
ASV 19 Gimesia	Modern marine	3.1045543812773335e-5
ASV 20 Thiobacillus	Modern marine	8.06182669976856e-4
ASV 21 Moraxellaceae	Modern marine	5.007345776253764e-7
ASV 22 Cutibacterium	Modern marine	1.2518364440634412e-6
ASV 23 Shewanella	Modern marine	5.257713065066453e-6
ASV 24 Bathyarchaeia	Modern marine	8.512487819631399e-6
ASV 25 Candidatus Falkowbacteria	Modern marine	5.442984858787842e-4
ASV 26 Ferritrophicum	Modern marine	5.563161157417932e-4
ASV 27 Methylobacterium	Modern marine	6.509549509129893e-6
ASV 28 A-N-P-R*	Old saline	1.3345167004720314e-4
ASV 29 Lawsonella	Old saline	3.30041764632868e-5
ASV 30 Thiobacillus	Modern marine	4.499100179964007e-4
ASV 31 JG30-KF-CM66	Modern marine	9.764324263694841e-6
ASV 32 Thiobacillus	Modern marine	4.5591883292790523e-4
ASV 33 Pedobacter	Modern marine	3.254774754564947e-6
ASV 34 Ferritrophicum	Modern marine	4.6142691328178437e-4
ASV 35 ADurb.Bin120	Old saline	3.781130651337423e-4
ASV 36 Desulfosporosinus	Modern marine	4.080986807646818e-4
ASV 37 Clostridium sensu_stricto_13	Meteoric	8.198004158623928e-5
ASV 38 Ferritrophicum	Modern marine	2.9468229893253405e-4
ASV 39 Gaiellales	Old saline	0.0010532637184370657
ASV 40 Hydrogenophaga	Modern marine	3.507645716265762e-4
ASV 41 Achromobacter	Old saline	5.022374679195818e-6
ASV 42 vadinBA26	Modern marine	1.7525710216888175e-6
ASV 43 Loktanella	Modern marine	2.5036728881268823e-6
ASV 44 Filomicrobium	Modern marine	3.339899632761261e-4
ASV 45 Desulfatirhabdium	Modern marine	2.653893261414495e-5
ASV 46 Hydrogenophaga	Modern marine	1.2017629863009035e-5
ASV 47 Bradyrhizobium	Old saline	2.9416765978146932e-5
ASV 48 Burkholderiaceae	Modern marine	3.5301787722589036e-4
ASV 49 Ferritrophicum	Modern marine	3.0720066337316845e-4
