environment	sample	unfiltered	filtered	lost	retained [%]	lost [%]
Marine surface	P1313_2001	183056	174726	8330	95.44947994056464	4.550520059435357
Marine surface	P1313_2002	153518	134723	18795	87.7571359710262	12.242864028973798
Marine surface	P1313_2003	28208	28203	5	99.98227453204764	0.017725467952359963
Marine surface	P1313_2004	58856	58596	260	99.55824384939514	0.44175615060485995
Marine surface	P1313_2005	55696	55289	407	99.26924734271762	0.7307526572823804
Marine surface	P1313_2006	136982	128810	8172	94.03425267553402	5.96574732446598
Marine surface	P1313_2007	87228	86690	538	99.38322556977117	0.6167744302288298
Marine surface	P1313_2008	4036	4028	8	99.8017839444995	0.19821605550049526
Marine surface	P1313_2009	125436	118699	6737	94.62913358206575	5.370866417934252
Marine surface	P1313_2010	91711	91449	262	99.71431998342621	0.2856800165737923
Marine surface	P1313_2011	206763	203153	3610	98.25403964926026	1.745960350739736
Marine surface	P1313_2012	109111	106765	2346	97.8498959774908	2.150104022509197
Marine surface	P1313_2013	259895	254716	5179	98.00727216760615	1.9927278323938538
Marine surface	P1313_2014	125508	122681	2827	97.74755394078466	2.2524460592153446
Marine surface	P1313_2015	101870	100894	976	99.04191616766467	0.9580838323353333
Marine surface	P1313_2016	66310	65151	1159	98.25214899713467	1.7478510028653318
Marine surface	P1313_2017	116859	116777	82	99.92982996602744	0.07017003397255905
Marine surface	P1313_2018	267055	266916	139	99.94795079665238	0.05204920334762164
Marine surface	P1313_2019	144920	144835	85	99.94134695004139	0.05865304995860754
Marine surface	P1313_2020	26930	26897	33	99.87746008169329	0.12253991830671396
Marine surface	P1313_2021	19389	19338	51	99.73696425808448	0.26303574191551604
Marine surface	P1313_2022	54602	54448	154	99.71795904911907	0.2820409508809263
Marine surface	P1313_2023	36851	36698	153	99.5848145233508	0.41518547664919936
Marine surface	P1313_2024	165298	164981	317	99.80822514488985	0.1917748551101539
Marine surface	P1313_2025	75755	75540	215	99.7161903504719	0.28380964952809506
Marine surface	P1313_2026	10760	10653	107	99.00557620817844	0.9944237918215606
Marine surface	P1313_2027	50298	48794	1504	97.00982146407412	2.990178535925878
Marine surface	P1313_2028	14965	14709	256	98.28934179752757	1.7106582024724304
Marine surface	P1313_2029	139574	136772	2802	97.99246277960079	2.0075372203992146
Marine surface	P1313_2030	56534	55434	1100	98.054268227969	1.945731772030996
Marine surface	P1313_2031	39485	37847	1638	95.85158921109283	4.148410788907171
Marine surface	P1313_2032	50021	49302	719	98.5626037064433	1.4373962935567022
Marine surface	P1313_2033	191821	172037	19784	89.68621788021125	10.313782119788755
Marine surface	P1313_2034	122064	108579	13485	88.95251671254424	11.047483287455762
Marine surface	P1313_2035	117821	112022	5799	95.0781269892464	4.9218730107536
Marine surface	P1313_2036	5019	4964	55	98.9041641761307	1.0958358238692938
Marine surface	P1313_2037	181471	177090	4381	97.58584016178894	2.414159838211063
Marine surface	P1313_2038	24781	23389	1392	94.38279326903675	5.617206730963247
Marine surface	P1313_2039	68086	66677	1409	97.93055841142085	2.069441588579153
Marine surface	P1313_2040	151969	145632	6337	95.83007060650527	4.169929393494726
Marine surface	P1313_2041	1690	1661	29	98.28402366863905	1.7159763313609488
Marine surface	P1313_2042	7991	7987	4	99.94994368664749	0.05005631335251337
Marine surface	P1313_2043	52702	48371	4331	91.78209555614588	8.217904443854124
Marine surface	P1313_2044	124892	114608	10284	91.7656855523172	8.234314447682806
Marine surface	P1313_2045	87281	85029	2252	97.41982791214583	2.580172087854166
Marine surface	P1313_2046	11247	10874	373	96.68356006046056	3.3164399395394355
Marine surface	P1313_2047	196781	182082	14699	92.53027477246279	7.469725227537211
Marine surface	P1313_2048	203422	189324	14098	93.06957949484324	6.930420505156761
Marine surface	P1313_2049	84280	82496	1784	97.88324632178453	2.116753678215474
Marine surface	P1313_2050	9827	9522	305	96.89630609545131	3.1036939045486918
Marine surface	P1313_2051	106815	104701	2114	98.02087721761924	1.979122782380756
Marine surface	P1313_2052	115817	113029	2788	97.5927540861877	2.4072459138123037
Marine surface	P1313_2053	72948	72287	661	99.09387508910457	0.9061249108954286
Marine surface	P1313_2055	91511	89331	2180	97.61777272677602	2.3822272732239753
Marine surface	P1313_2056	139581	136658	2923	97.90587544149992	2.0941245585000843
Marine surface	P1313_2057	24929	24562	367	98.52781900597698	1.4721809940230202
Marine surface	P1313_2058	9577	9411	166	98.26668058891094	1.733319411089056
Marine surface	P1313_2059	31698	31358	340	98.92737712158495	1.0726228784150464
Marine surface	P1313_2060	90560	89912	648	99.2844522968198	0.7155477031802064
Marine surface	P1313_2061	22265	21920	345	98.4504828205704	1.5495171794295999
Marine surface	P1313_2062	115236	105148	10088	91.24579124579124	8.754208754208761
